   50    ,30         ,10              ,22.1542                   ,milliseconds
   50    ,30         ,20              ,32.4106                   ,milliseconds
   50    ,30         ,30              ,42.241                   ,milliseconds
   50    ,30         ,40              ,44.1835                   ,milliseconds
   50    ,30         ,50              ,44.4999                   ,milliseconds
   50    ,30         ,60              ,44.2869                   ,milliseconds
   50    ,30         ,70              ,44.3638                   ,milliseconds
   50    ,30         ,80              ,44.8707                   ,milliseconds
   50    ,30         ,90              ,47.4061                   ,milliseconds
   50    ,30         ,100              ,48.7485                   ,milliseconds
   50    ,30         ,110              ,48.6903                   ,milliseconds
   50    ,30         ,120              ,49.2339                   ,milliseconds
   50    ,30         ,130              ,49.2165                   ,milliseconds
   50    ,30         ,140              ,51.711                   ,milliseconds
   50    ,30         ,150              ,55.1731                   ,milliseconds
   50    ,30         ,160              ,58.92                   ,milliseconds
   50    ,30         ,170              ,59.1362                   ,milliseconds
   50    ,30         ,180              ,59.1788                   ,milliseconds
   50    ,30         ,190              ,59.4874                   ,milliseconds
   50    ,30         ,200              ,59.6645                   ,milliseconds
   50    ,30         ,400              ,87.4781                   ,milliseconds
   50    ,30         ,600              ,121.541                   ,milliseconds
   50    ,30         ,800              ,169.726                   ,milliseconds
   50    ,30         ,1000              ,194.982                   ,milliseconds
   50    ,30         ,2000              ,216.12                   ,milliseconds
   50    ,30         ,3000              ,430.82                   ,milliseconds
   50    ,30         ,4000              ,1095.89                   ,milliseconds
   50    ,30         ,5000              ,1348.41                   ,milliseconds
   50    ,30         ,6000              ,1552.32                   ,milliseconds
   50    ,30         ,7000              ,1608.26                   ,milliseconds
